radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,440,11,39937,188819976,26,133.4180997,33.9473917,0,12,1,1683677949,1737368017,
LTE,440,11,39938,188820228,20,132.7237383,33.2651437,0,41,1,1682357286,1748316953,
LTE,440,11,39938,188820230,82,132.5530654,33.5597898,0,10,1,1681731499,1731129050,
LTE,440,11,39938,188821513,40,132.4584644,33.4661334,0,31,1,1684665559,1733364951,
LTE,440,11,39938,188821515,42,132.4536334,33.4643879,0,24,1,1684665559,1733364951,
LTE,440,11,39938,188822017,65,132.3678490,33.4757261,0,3,1,1688306816,1747708572,
LTE,440,11,39938,188822019,52,132.3704829,33.4747988,0,11,1,1688306825,1722380780,
LTE,440,11,39938,188822020,249,132.7060668,33.2523630,0,42,1,1746280979,1748316953,
LTE,440,11,39938,188822021,251,132.7009075,33.2483769,0,23,1,1746280979,1748319904,
LTE,440,11,39938,188822022,250,132.6963136,33.2503373,0,96,1,1746280979,1748319904,
LTE,440,11,39937,188822024,84,133.0316098,33.9684652,0,65,1,1714380529,1733633756,
LTE,440,11,39937,188822025,119,133.0286558,33.9642943,0,60,1,1714380529,1733633756,
LTE,440,11,39937,188822026,241,133.0180563,33.9812074,0,183,1,1714380528,1733633756,
LTE,440,11,39937,188822277,335,133.2487331,33.9110863,0,132,1,1690093215,1737368019,
LTE,440,11,39937,188822278,292,133.2381565,33.9119660,0,95,1,1690093215,1737368019,
LTE,440,11,39937,188822279,316,133.2818048,33.9151172,0,154,1,1690093215,1737368019,
LTE,440,11,39937,188822280,29,133.2707966,33.9125889,0,223,1,1690093215,1737368019,
LTE,440,11,39938,188822529,274,132.4208728,33.4743384,0,32,1,1688306851,1747708575,
LTE,440,11,39937,188822530,332,133.0527329,33.8973581,0,120,1,1714380531,1733633758,
LTE,440,11,39937,188822531,348,133.0649392,33.8719977,0,77,1,1703812313,1733633758,
LTE,440,11,39937,188822532,100,133.0443802,33.8857456,0,20,1,1714813436,1722072865,
LTE,440,11,39937,188822533,194,133.5086018,33.9683549,0,261,1,1723783867,1737368030,
LTE,440,11,39937,188822534,168,133.4836551,33.9594202,0,35,1,1723783867,1737368017,
