radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,440,11,39937,188802567,200,133.0244400,34.0538460,0,52,1,1677507853,1749897946,
LTE,440,11,39937,188802568,345,133.0296181,34.0286516,0,21,1,1682247975,1749897946,
LTE,440,11,39937,188802569,10,133.0272137,34.0310638,0,28,1,1682247975,1749897946,
LTE,440,11,39937,188802570,213,133.0464336,33.9941608,0,438,1,1678795984,1754740374,
LTE,440,11,39937,188802571,250,133.0394359,34.0007285,0,533,1,1678795984,1754740374,
LTE,440,11,39937,188802817,256,133.0281324,34.0454537,0,54,1,1677507853,1749787054,
LTE,440,11,39937,188802818,159,133.0207637,34.0388715,0,24,1,1677507853,1749897947,
LTE,440,11,39937,188802819,176,133.0172152,34.0414004,0,27,1,1677507853,1749897947,
LTE,440,11,39937,188802820,20,133.0271904,34.0210010,0,223,1,1678795984,1750514378,
LTE,440,11,39937,188802821,232,133.0193556,34.0262047,0,38,1,1678795984,1754740357,
LTE,440,11,39937,188802822,336,133.0169228,34.0286273,0,70,1,1682177016,1753494577,
LTE,440,11,39937,188802823,1,133.0036087,34.0318807,0,419,1,1682177016,1754740356,
LTE,440,11,39937,188802824,287,133.0078938,34.0244389,0,359,1,1682177012,1754740357,
LTE,440,11,39937,188802825,306,132.9983570,34.0243122,0,95,1,1682247975,1754740357,
LTE,440,11,39937,188802826,188,133.0298684,34.0393364,0,104,1,1682177016,1754740375,
LTE,440,11,39937,188802827,15,133.0150932,34.0369329,0,44,1,1682177016,1751102617,
LTE,440,11,39937,188802828,301,133.0229267,34.0544399,0,195,1,1677507853,1754740375,
LTE,440,11,39937,188803073,259,133.0191979,34.0418524,0,35,1,1682177016,1749897947,
LTE,440,11,39937,188803074,356,133.0251358,34.0336480,0,14,1,1682247975,1749897947,
LTE,440,11,39937,188803075,366,133.0146654,34.0305198,0,74,1,1678795984,1751102617,
LTE,440,11,39937,188803076,281,133.0191047,33.9848514,0,192,1,1682177012,1754740358,
LTE,440,11,39937,188803077,81,133.0243618,33.9762689,0,87,1,1683989524,1754740358,
LTE,440,11,39937,188803078,64,133.0193550,33.9791082,0,39,1,1682177012,1749897946,
LTE,440,11,39937,188803079,313,133.0215480,33.9971165,0,102,1,1682177018,1733633755,
LTE,440,11,39937,188803080,173,133.0146945,33.9929102,0,53,1,1682177012,1733633755,
LTE,440,11,39937,188803081,111,133.0112565,34.0034103,0,178,1,1682177012,1733633755,
LTE,440,11,39937,188803082,149,133.0377181,34.0208601,0,139,1,1682247967,1754740374,
LTE,440,11,39937,188803083,36,133.0428446,34.0165630,0,58,1,1682247967,1751102612,
LTE,440,11,39937,188803084,169,133.0355799,34.0129888,0,368,1,1678795984,1754740374,
LTE,440,11,39937,188803329,113,133.0382893,34.0270336,0,139,1,1682247967,1754740375,
LTE,440,11,39937,188803330,367,133.0347750,34.0339371,0,91,1,1682247967,1754740375,
LTE,440,11,39937,188803331,16,133.0271635,34.0469165,0,116,1,1677507853,1754740375,
LTE,440,11,39937,188803332,155,133.0087535,34.0391724,0,109,1,1678795984,1754740357,
LTE,440,11,39937,188803333,369,133.0198994,34.0499226,0,168,1,1678717787,1754740375,
LTE,440,11,39937,188803334,68,133.1052242,33.9020957,0,176,1,1678795968,1754740361,
LTE,440,11,39937,188803335,154,133.1053704,33.8941066,0,44,1,1679295639,1753094763,
LTE,440,11,39937,188803336,294,133.0963335,33.8961258,0,183,1,1679117605,1754740361,
LTE,440,11,39937,188803337,356,133.2335741,33.9223476,0,33,1,1678795968,1751089567,
LTE,440,11,39937,188803338,345,133.2404256,33.9198554,0,174,1,1679117594,1754740364,
LTE,440,11,39937,188803339,211,133.2326512,33.9196929,0,218,1,1679117601,1754740364,
LTE,440,11,39937,188803586,116,133.1948801,33.9062151,0,30,1,1683677993,1750474201,
LTE,440,11,39937,188803587,105,133.1931724,33.9088874,0,92,1,1679117601,1754740363,
LTE,440,11,39937,188803588,263,133.1695776,33.8977040,0,113,1,1678795968,1754740363,
LTE,440,11,39937,188803589,34,133.1671916,33.8958239,0,27,1,1679117601,1754740362,
LTE,440,11,39937,188803590,216,133.1609435,33.8973911,0,156,1,1678795968,1754740362,
LTE,440,11,39937,188803592,17,133.1496507,33.8994478,0,121,1,1678795968,1754740362,
LTE,440,11,39937,188803593,229,133.1425369,33.9150074,0,295,1,1683678463,1754740371,
LTE,440,11,39937,188803842,100,133.1739291,33.9255865,0,126,1,1679295642,1754740370,
LTE,440,11,39937,188803844,56,133.2029466,33.9150065,0,192,1,1678795968,1754740364,
LTE,440,11,39937,188803845,226,133.2097249,33.9057643,0,84,1,1683677993,1750474201,
LTE,440,11,39937,188803846,33,133.1989162,33.9114168,0,121,1,1679117601,1754740363,
LTE,440,11,39937,188803847,355,133.1928309,33.8939629,0,70,1,1679295642,1750474201,
LTE,440,11,39937,188803848,243,133.1863944,33.8884951,0,153,1,1679295642,1750474201,
LTE,440,11,39937,188803849,199,133.2279545,33.9174471,0,50,1,1682579741,1754740364,
LTE,440,11,39937,188804097,268,133.2103905,33.9355651,0,35,1,1683989552,1754740368,
LTE,440,11,39937,188804098,117,133.2082948,33.9323167,0,65,1,1683989552,1754740369,
LTE,440,11,39937,188804099,274,133.2060379,33.9375084,0,93,1,1683989552,1750514375,
LTE,440,11,39937,188804103,15,133.1724498,33.9142663,0,28,1,1679295642,1751102612,
LTE,440,11,39937,188804104,169,133.1620503,33.9118779,0,76,1,1679295642,1751102613,
LTE,440,11,39937,188804354,22,133.1774665,33.9016044,0,160,1,1678795968,1754740363,
LTE,440,11,39937,188804355,107,133.1610219,33.9016280,0,95,1,1679295639,1754740362,
LTE,440,11,39937,188804357,291,133.1359180,33.8890860,0,189,1,1678795968,1750474200,
LTE,440,11,39937,188804358,37,133.1273146,33.8841990,0,103,1,1683677993,1750474200,
LTE,440,11,39937,188804359,338,133.1906401,33.9196205,0,39,1,1683989554,1754740369,
LTE,440,11,39937,188804360,232,133.1921173,33.9165240,0,53,1,1683678463,1750474201,
